School DBN,# of students over five active on register,# of students w/ at least one dose,% w/ at least one dose,# of students fully vaccinated,% fully vaccinated
15K821,467,344,0.737,305,0.653
15K839,357,285,0.798,262,0.734
15K896,152,99,0.651,83,0.546
16K005,178,61,0.343,42,0.236
16K021,408,130,0.319,91,0.223
16K025,65,12,0.185,9,0.138
16K026,166,59,0.355,47,0.283
16K035,173,80,0.462,67,0.387
16K040,375,101,0.269,72,0.192
16K057,105,50,0.476,39,0.371
16K081,193,66,0.342,50,0.259
16K243,177,52,0.294,40,0.226
16K262,123,24,0.195,19,0.154
16K267,171,88,0.515,71,0.415
16K308,203,75,0.369,45,0.222
16K309,142,46,0.324,33,0.232
16K335,164,48,0.293,37,0.226
16K455,427,241,0.564,194,0.454
16K498,564,371,0.658,317,0.562
16K627,226,85,0.376,69,0.305
16K628,269,133,0.494,116,0.431
16K669,221,90,0.407,56,0.253
16K681,214,116,0.542,98,0.458
16K688,159,105,0.66,88,0.553
16K765,144,76,0.528,59,0.41
16K898,155,89,0.574,75,0.484
17K002,359,191,0.532,163,0.454
17K006,577,167,0.289,115,0.199
17K012,173,46,0.266,30,0.173
17K061,446,221,0.496,179,0.401
17K091,155,48,0.31,34,0.219
17K092,287,73,0.254,41,0.143
17K122,497,311,0.626,269,0.541
17K138,424,180,0.425,150,0.354
17K161,267,59,0.221,43,0.161
17K181,540,161,0.298,126,0.233
17K189,888,300,0.338,238,0.268
17K191,137,44,0.321,25,0.182
17K221,144,36,0.25,24,0.167
17K241,315,128,0.406,104,0.33
17K246,319,157,0.492,119,0.373
17K249,706,281,0.398,217,0.307
17K289,239,69,0.289,59,0.247
17K316,506,259,0.512,216,0.427
17K340,179,92,0.514,85,0.475
17K352,128,54,0.422,45,0.352
17K353,137,80,0.584,69,0.504
17K354,267,132,0.494,110,0.412
17K375,217,64,0.295,53,0.244
17K382,341,211,0.619,178,0.522
17K394,240,95,0.396,77,0.321
17K397,152,31,0.204,25,0.164
17K398,216,55,0.255,37,0.171
17K399,137,31,0.226,25,0.182
17K408,318,191,0.601,155,0.487
17K484,159,72,0.453,57,0.358
17K524,298,185,0.621,146,0.49
17K528,227,153,0.674,137,0.604
17K531,236,131,0.555,102,0.432
17K532,379,127,0.335,103,0.272
17K537,434,285,0.657,240,0.553
17K539,239,148,0.619,126,0.527
17K543,624,466,0.747,429,0.688
17K546,501,341,0.681,309,0.617
17K547,320,216,0.675,186,0.581
17K548,233,140,0.601,116,0.498
17K568,68,28,0.412,21,0.309
17K590,1398,985,0.705,907,0.649
17K600,1296,853,0.658,748,0.577
17K646,157,74,0.471,50,0.318
17K705,250,124,0.496,106,0.424
17K722,212,99,0.467,75,0.354
17K745,524,342,0.653,299,0.571
17K751,243,163,0.671,143,0.588
17K770,268,172,0.642,133,0.496
18K066,559,234,0.419,200,0.358
18K068,236,96,0.407,72,0.305
18K114,341,79,0.232,62,0.182
18K115,680,229,0.337,185,0.272
18K135,307,84,0.274,64,0.208
18K208,240,76,0.317,58,0.242
18K211,216,99,0.458,81,0.375
18K219,271,70,0.258,50,0.185
18K233,250,67,0.268,44,0.176
18K235,962,398,0.414,346,0.36
18K244,349,102,0.292,78,0.223
18K268,225,73,0.324,49,0.218
18K272,300,76,0.253,52,0.173
18K276,430,103,0.24,82,0.191
18K279,238,79,0.332,62,0.261
18K285,584,322,0.551,277,0.474
18K366,351,172,0.49,144,0.41
18K563,383,237,0.619,198,0.517
18K566,210,129,0.614,116,0.552
18K567,199,142,0.714,126,0.633
18K569,167,85,0.509,70,0.419
18K576,240,162,0.675,142,0.592
18K578,137,51,0.372,34,0.248
18K581,168,75,0.446,57,0.339
18K588,164,83,0.506,68,0.415
18K617,249,173,0.695,147,0.59
18K629,207,125,0.604,106,0.512
18K633,434,286,0.659,253,0.583
18K635,160,55,0.344,36,0.225
18K637,346,218,0.63,199,0.575
18K642,139,75,0.54,65,0.468
18K673,160,66,0.413,38,0.238
18K763,344,185,0.538,165,0.48
19K007,619,239,0.386,182,0.294
19K013,335,79,0.236,55,0.164
19K065,459,167,0.364,134,0.292
19K089,426,211,0.495,167,0.392
19K108,676,255,0.377,184,0.272
19K149,419,120,0.286,84,0.2
19K158,370,115,0.311,69,0.186
19K159,594,300,0.505,249,0.419
19K171,308,189,0.614,158,0.513
19K190,119,33,0.277,24,0.202
19K202,219,60,0.274,37,0.169
19K213,190,50,0.263,32,0.168
19K214,698,338,0.484,274,0.393
19K218,322,158,0.491,124,0.385
19K224,253,63,0.249,38,0.15
19K273,263,83,0.316,50,0.19
19K290,346,108,0.312,81,0.234
19K292,405,215,0.531,187,0.462
19K306,227,77,0.339,55,0.242
19K325,134,31,0.231,20,0.149
19K328,220,40,0.182,26,0.118
19K345,475,146,0.307,101,0.213
19K346,404,141,0.349,113,0.28
19K364,180,91,0.506,79,0.439
19K404,513,318,0.62,273,0.532
19K409,607,391,0.644,336,0.554
19K422,487,294,0.604,253,0.52
19K452,214,113,0.528,102,0.477
19K502,241,174,0.722,156,0.647
19K504,159,111,0.698,102,0.642
19K507,320,206,0.644,187,0.584
19K510,144,95,0.66,79,0.549
19K557,245,65,0.265,48,0.196
19K583,342,241,0.705,198,0.579
19K615,774,523,0.676,462,0.597
19K618,400,289,0.723,260,0.65
19K639,330,225,0.682,201,0.609
19K654,240,115,0.479,90,0.375
19K659,364,267,0.734,240,0.659
19K660,374,212,0.567,183,0.489
19K661,463,267,0.577,230,0.497
19K662,483,284,0.588,237,0.491
19K663,98,39,0.398,26,0.265
19K677,381,102,0.268,83,0.218
19K678,245,121,0.494,94,0.384
19K683,251,147,0.586,122,0.486
19K760,293,190,0.648,167,0.57
19K764,338,234,0.692,215,0.636
19K907,150,68,0.453,53,0.353
19K935,94,36,0.383,29,0.309
19K938,69,22,0.319,15,0.217
19K953,139,89,0.64,75,0.54
20K030,963,441,0.458,383,0.398
20K048,494,235,0.476,205,0.415
20K062,969,555,0.573,481,0.496
20K069,643,537,0.835,482,0.75
20K102,1185,570,0.481,491,0.414
20K104,1113,618,0.555,553,0.497
20K105,1278,1083,0.847,995,0.779
20K112,698,334,0.479,283,0.405
20K127,542,280,0.517,238,0.439
20K160,991,814,0.821,753,0.76
20K163,608,315,0.518,281,0.462
20K164,539,290,0.538,248,0.46
20K170,928,535,0.577,465,0.501
20K176,1116,746,0.668,655,0.587
20K179,674,280,0.415,237,0.352
20K180,932,559,0.6,495,0.531
20K185,560,238,0.425,201,0.359
20K186,1017,425,0.418,370,0.364
20K187,920,783,0.851,753,0.818
20K192,567,207,0.365,172,0.303
20K200,1259,337,0.268,286,0.227
20K201,1552,1183,0.762,1120,0.722
20K204,1034,581,0.562,531,0.514
20K205,1127,670,0.594,596,0.529
20K220,1262,1021,0.809,933,0.739
20K223,783,536,0.685,490,0.626
20K227,1520,1155,0.76,1075,0.707
20K229,1171,782,0.668,731,0.624
20K247,752,431,0.573,380,0.505
20K259,1535,1133,0.738,1073,0.699
20K264,363,141,0.388,107,0.295
20K310,475,382,0.804,360,0.758
20K445,3198,2459,0.769,2310,0.722
20K485,1261,1025,0.813,969,0.768
20K490,4054,3252,0.802,3071,0.758
20K503,737,366,0.497,307,0.417
20K505,3177,2288,0.72,2099,0.661
20K506,528,283,0.536,231,0.438
20K609,536,395,0.737,359,0.67
20K682,342,159,0.465,147,0.43
20K686,465,265,0.57,241,0.518
20K748,455,206,0.453,180,0.396
20K936,299,200,0.669,176,0.589
20K939,112,49,0.438,40,0.357
20K971,227,137,0.604,122,0.537
21K090,442,126,0.285,93,0.21
21K095,934,460,0.493,407,0.436
21K096,823,448,0.544,403,0.49
21K097,716,398,0.556,358,0.5
21K098,1522,788,0.518,729,0.479
21K099,784,235,0.3,201,0.256
21K100,618,79,0.128,65,0.105
21K101,971,521,0.537,481,0.495
21K121,323,137,0.424,115,0.356
21K128,435,131,0.301,103,0.237
21K153,493,148,0.3,124,0.252
21K177,824,287,0.348,231,0.28
21K188,246,63,0.256,53,0.215
21K199,497,114,0.229,90,0.181
21K209,646,233,0.361,196,0.303
21K212,561,239,0.426,198,0.353
21K215,661,245,0.371,211,0.319
21K216,620,147,0.237,122,0.197
21K225,882,243,0.276,191,0.217
21K226,865,394,0.455,341,0.394
21K228,1531,811,0.53,743,0.485
21K238,538,174,0.323,142,0.264
21K239,1231,810,0.658,763,0.62
21K253,825,261,0.316,212,0.257
21K281,1180,700,0.593,631,0.535
21K288,532,192,0.361,147,0.276
21K303,427,192,0.45,175,0.41
21K329,300,77,0.257,49,0.163
21K337,346,209,0.604,172,0.497
21K344,594,330,0.556,288,0.485
21K348,325,181,0.557,157,0.483
21K410,1930,1304,0.676,1154,0.598
21K468,726,506,0.697,446,0.614
21K525,3613,2778,0.769,2618,0.725
21K540,2167,1552,0.716,1415,0.653
21K559,266,163,0.613,131,0.492
21K572,385,280,0.727,253,0.657
21K620,580,395,0.681,336,0.579
21K690,923,524,0.568,478,0.518
21K728,203,81,0.399,56,0.276
22K014,480,203,0.423,172,0.358
22K052,655,127,0.194,101,0.154
22K078,510,263,0.516,235,0.461
22K109,480,183,0.381,137,0.285
22K119,363,156,0.43,121,0.333
22K134,510,143,0.28,126,0.247
22K139,713,436,0.612,373,0.523
22K152,491,180,0.367,151,0.308
22K193,452,149,0.33,126,0.279
22K194,462,134,0.29,100,0.216
22K195,310,55,0.177,48,0.155
22K197,814,168,0.206,135,0.166
22K198,266,90,0.338,58,0.218
22K203,471,128,0.272,97,0.206
22K206,1474,671,0.455,609,0.413
22K207,914,418,0.457,364,0.398
22K217,867,347,0.4,299,0.345
22K222,700,292,0.417,260,0.371
22K234,1285,661,0.514,592,0.461
22K236,485,144,0.297,134,0.276
22K240,502,277,0.552,234,0.466
22K245,229,88,0.384,73,0.319
22K251,310,92,0.297,71,0.229
22K254,622,179,0.288,150,0.241
22K255,771,214,0.278,185,0.24
22K277,326,114,0.35,99,0.304
22K278,1194,670,0.561,618,0.518
22K312,583,183,0.314,152,0.261
22K315,513,203,0.396,160,0.312
22K326,102,30,0.294,22,0.216
22K361,415,133,0.32,97,0.234
22K381,323,182,0.563,146,0.452
22K405,3963,3168,0.799,3019,0.762
22K425,3460,2262,0.654,2105,0.608
22K535,956,734,0.768,692,0.724
22K555,641,530,0.827,507,0.791
22K611,415,244,0.588,215,0.518
22K630,153,77,0.503,60,0.392
22K889,291,175,0.601,146,0.502
22K890,283,186,0.657,162,0.572
23K041,248,101,0.407,66,0.266
23K137,125,40,0.32,29,0.232
23K150,141,33,0.234,24,0.17
23K155,299,120,0.401,80,0.268
23K156,446,136,0.305,101,0.226
23K165,159,31,0.195,19,0.119
23K178,241,85,0.353,72,0.299
23K184,411,131,0.319,102,0.248
23K284,206,42,0.204,25,0.121
23K298,250,77,0.308,48,0.192
23K323,464,141,0.304,96,0.207
23K327,188,46,0.245,25,0.133
23K363,262,120,0.458,88,0.336
23K392,328,192,0.585,167,0.509
23K401,205,60,0.293,41,0.2
23K446,238,64,0.269,37,0.155
23K493,383,237,0.619,193,0.504
23K514,163,103,0.632,86,0.528
23K518,97,48,0.495,38,0.392
23K522,96,44,0.458,39,0.406
23K599,350,108,0.309,84,0.24
23K643,139,47,0.338,35,0.252
23K644,587,320,0.545,267,0.455
23K647,191,69,0.361,40,0.209
23K664,153,64,0.418,50,0.327
23K668,123,50,0.407,37,0.301
23K671,182,89,0.489,72,0.396
23K697,169,89,0.527,69,0.408
24Q005,1563,1248,0.798,1143,0.731
24Q007,1139,788,0.692,705,0.619
24Q012,936,625,0.668,536,0.573
24Q013,1083,635,0.586,536,0.495
24Q014,1131,593,0.524,430,0.38
24Q016,1158,600,0.518,474,0.409
24Q019,1621,933,0.576,721,0.445
24Q028,366,168,0.459,127,0.347
24Q049,1160,589,0.508,526,0.453
24Q058,808,479,0.593,402,0.498
24Q061,2097,1592,0.759,1393,0.664
24Q068,446,194,0.435,146,0.327
24Q071,532,177,0.333,135,0.254
24Q073,1966,1496,0.761,1367,0.695
24Q077,726,496,0.683,427,0.588
24Q081,641,297,0.463,219,0.342
24Q087,492,224,0.455,203,0.413
24Q088,619,209,0.338,176,0.284
24Q089,1382,906,0.656,730,0.528
24Q091,703,215,0.306,168,0.239
24Q093,1019,666,0.654,576,0.565
24Q102,1201,877,0.73,804,0.669
24Q110,912,480,0.526,364,0.399
24Q113,771,328,0.425,282,0.366
24Q119,1206,704,0.584,647,0.536
24Q125,1517,1173,0.773,1065,0.702
24Q128,673,240,0.357,210,0.312
24Q143,1376,758,0.551,600,0.436
24Q153,802,398,0.496,343,0.428
24Q199,512,296,0.578,243,0.475
24Q211,738,379,0.514,278,0.377
24Q229,1152,699,0.607,610,0.53
24Q236,264,208,0.788,172,0.652
24Q239,417,156,0.374,114,0.273
24Q264,765,645,0.843,619,0.809
24Q267,384,304,0.792,293,0.763
24Q290,530,277,0.523,244,0.46
24Q293,621,536,0.863,511,0.823
24Q296,394,313,0.794,257,0.652
24Q299,669,602,0.9,581,0.868
24Q305,446,213,0.478,157,0.352
24Q307,764,386,0.505,294,0.385
24Q311,756,590,0.78,522,0.69
24Q330,454,213,0.469,151,0.333
24Q343,447,320,0.716,289,0.647
24Q455,1664,1330,0.799,1192,0.716
24Q485,1405,1014,0.722,915,0.651
24Q520,492,426,0.866,412,0.837
24Q530,493,407,0.826,360,0.73
24Q550,762,631,0.828,601,0.789
24Q560,602,490,0.814,461,0.766
24Q585,1083,900,0.831,852,0.787
24Q600,1418,1217,0.858,1158,0.817
24Q610,1906,1653,0.867,1593,0.836
24Q744,204,105,0.515,58,0.284
25Q020,1011,760,0.752,665,0.658
25Q021,1076,697,0.648,600,0.558
25Q022,740,512,0.692,447,0.604
25Q024,1032,830,0.804,772,0.748
25Q025,1008,814,0.808,771,0.765
25Q029,695,362,0.521,285,0.41
25Q032,873,653,0.748,587,0.672
25Q079,1023,698,0.682,619,0.605
25Q107,828,551,0.665,491,0.593
25Q120,680,515,0.757,449,0.66
25Q129,1089,596,0.547,490,0.45
25Q130,364,250,0.687,237,0.651
25Q154,553,277,0.501,231,0.418
25Q163,737,559,0.758,502,0.681
25Q164,545,263,0.483,232,0.426
25Q165,609,299,0.491,254,0.417
25Q169,362,226,0.624,210,0.58
25Q184,465,277,0.596,252,0.542
25Q185,1329,1026,0.772,955,0.719
25Q189,644,533,0.828,500,0.776
25Q193,529,212,0.401,185,0.35
25Q194,1012,743,0.734,702,0.694
25Q200,467,225,0.482,194,0.415
25Q201,363,132,0.364,100,0.275
25Q209,504,331,0.657,295,0.585
25Q214,342,225,0.658,207,0.605
25Q219,558,357,0.64,336,0.602
25Q237,1210,1001,0.827,932,0.77
25Q240,597,504,0.844,478,0.801
25Q241,449,401,0.893,382,0.851
25Q242,315,224,0.711,200,0.635
25Q244,420,344,0.819,318,0.757
25Q250,331,209,0.631,185,0.559
25Q252,574,429,0.747,409,0.713
25Q263,407,319,0.784,275,0.676
25Q281,651,578,0.888,560,0.86
25Q285,631,461,0.731,441,0.699
25Q294,350,262,0.749,246,0.703
25Q379,471,351,0.745,315,0.669
25Q425,3013,2382,0.791,2167,0.719
25Q460,1432,1157,0.808,1067,0.745
25Q499,489,347,0.71,309,0.632
25Q525,1344,1237,0.92,1203,0.895
25Q540,303,141,0.465,91,0.3
25Q670,565,429,0.759,394,0.697
25Q792,131,61,0.466,41,0.313
26Q018,368,231,0.628,191,0.519
26Q026,602,320,0.532,263,0.437
26Q031,406,255,0.628,226,0.557
26Q041,399,280,0.702,260,0.652
26Q046,452,291,0.644,257,0.569
26Q067,994,795,0.8,746,0.751
26Q074,1011,847,0.838,814,0.805
26Q094,300,208,0.693,186,0.62
26Q098,215,124,0.577,108,0.502
26Q115,611,414,0.678,363,0.594
26Q133,530,325,0.613,291,0.549
26Q158,812,676,0.833,638,0.786
26Q159,570,397,0.696,370,0.649
26Q162,547,373,0.682,345,0.631
26Q172,880,681,0.774,640,0.727
26Q173,881,563,0.639,506,0.574
26Q178,462,129,0.279,107,0.232
26Q186,348,207,0.595,177,0.509
26Q188,635,452,0.712,422,0.665
26Q191,332,173,0.521,143,0.431
26Q203,726,539,0.742,480,0.661
26Q205,232,144,0.621,127,0.547
26Q213,356,194,0.545,173,0.486
26Q216,1432,1147,0.801,1077,0.752
26Q221,535,323,0.604,288,0.538
26Q266,521,314,0.603,281,0.539
26Q315,522,416,0.797,393,0.753
26Q376,314,239,0.761,208,0.662
26Q390,50,23,0.46,18,0.36
26Q415,3263,2659,0.815,2505,0.768
26Q430,4217,3617,0.858,3467,0.822
26Q435,1105,838,0.758,750,0.679
26Q495,2799,2386,0.852,2282,0.815
26Q566,903,695,0.77,633,0.701
27Q042,525,159,0.303,113,0.215
27Q043,674,208,0.309,135,0.2
27Q045,232,64,0.276,44,0.19
27Q047,225,80,0.356,67,0.298
27Q051,156,46,0.295,35,0.224
27Q053,214,93,0.435,71,0.332
27Q056,310,139,0.448,105,0.339
27Q060,898,432,0.481,348,0.388
27Q062,785,404,0.515,312,0.397
27Q063,933,465,0.498,386,0.414
27Q064,447,266,0.595,239,0.535
27Q065,345,156,0.452,136,0.394
27Q066,418,202,0.483,159,0.38
27Q090,553,250,0.452,198,0.358
27Q096,267,115,0.431,97,0.363
27Q097,566,261,0.461,202,0.357
27Q100,681,351,0.515,270,0.396
27Q104,530,136,0.257,97,0.183
27Q105,649,256,0.394,198,0.305
27Q106,136,25,0.184,19,0.14
27Q108,1124,558,0.496,462,0.411
27Q114,549,181,0.33,160,0.291
27Q123,500,199,0.398,160,0.32
27Q124,990,558,0.564,480,0.485
27Q137,1781,1297,0.728,1172,0.658
27Q146,486,212,0.436,189,0.389
27Q155,453,197,0.435,157,0.347
27Q183,406,145,0.357,112,0.276
27Q197,358,101,0.282,74,0.207
27Q202,888,636,0.716,589,0.663
27Q207,566,174,0.307,153,0.27
27Q210,1543,1077,0.698,959,0.622
27Q223,423,169,0.4,132,0.312
27Q226,871,578,0.664,503,0.577
27Q232,818,357,0.436,317,0.388
27Q253,456,116,0.254,88,0.193
27Q254,468,213,0.455,162,0.346
27Q260,276,148,0.536,116,0.42
27Q261,227,110,0.485,78,0.344
27Q262,1176,818,0.696,750,0.638
27Q273,293,145,0.495,121,0.413
27Q282,260,163,0.627,136,0.523
27Q297,384,264,0.688,239,0.622
27Q302,478,299,0.626,272,0.569
27Q306,327,158,0.483,126,0.385
27Q308,584,460,0.788,435,0.745
27Q309,668,408,0.611,345,0.516
27Q314,397,311,0.783,291,0.733
27Q316,385,193,0.501,169,0.439
27Q317,438,201,0.459,171,0.39
27Q318,165,110,0.667,93,0.564
27Q319,314,150,0.478,120,0.382
27Q323,1149,878,0.764,822,0.715
27Q324,252,132,0.524,109,0.433
27Q333,323,141,0.437,117,0.362
27Q334,403,327,0.811,301,0.747
27Q351,275,149,0.542,124,0.451
27Q362,415,118,0.284,91,0.219
27Q377,309,117,0.379,86,0.278
27Q400,466,300,0.644,256,0.549
27Q475,1606,1256,0.782,1157,0.72
27Q480,2315,1709,0.738,1560,0.674
27Q650,1096,927,0.846,889,0.811
28Q008,410,252,0.615,216,0.527
28Q040,321,143,0.445,112,0.349
28Q048,413,172,0.416,127,0.308
28Q050,694,322,0.464,261,0.376
28Q054,431,207,0.48,167,0.387
28Q055,415,222,0.535,188,0.453
28Q072,258,133,0.516,105,0.407
28Q080,337,86,0.255,65,0.193
28Q082,572,230,0.402,180,0.315
28Q086,615,313,0.509,268,0.436
28Q099,676,316,0.467,255,0.377
28Q101,509,354,0.695,336,0.66
28Q117,741,301,0.406,254,0.343
28Q121,699,338,0.484,280,0.401
28Q139,574,215,0.375,185,0.322
28Q140,358,86,0.24,58,0.162
28Q144,758,566,0.747,518,0.683
28Q157,1549,921,0.595,862,0.556
28Q160,534,200,0.375,161,0.301
28Q161,489,265,0.542,219,0.448
28Q167,828,674,0.814,653,0.789
28Q174,552,329,0.596,303,0.549
28Q175,622,223,0.359,197,0.317
28Q182,587,284,0.484,242,0.412
28Q190,1074,750,0.698,699,0.651
28Q196,804,546,0.679,515,0.641
28Q206,471,162,0.344,131,0.278
28Q217,1464,991,0.677,885,0.605
28Q220,554,203,0.366,179,0.323
28Q284,594,491,0.827,460,0.774
28Q287,361,229,0.634,200,0.554
28Q303,365,237,0.649,214,0.586
28Q310,633,459,0.725,417,0.659
28Q312,225,77,0.342,58,0.258
28Q325,413,306,0.741,286,0.692
28Q328,453,368,0.812,355,0.784
28Q332,219,129,0.589,113,0.516
28Q338,137,84,0.613,62,0.453
28Q349,543,338,0.622,286,0.527
28Q350,509,409,0.804,378,0.743
28Q354,454,134,0.295,97,0.214
28Q358,342,257,0.751,235,0.687
28Q440,3555,2704,0.761,2563,0.721
28Q505,2488,1945,0.782,1776,0.714
28Q620,2218,1950,0.879,1882,0.849
28Q680,681,579,0.85,557,0.818
28Q686,1016,742,0.73,692,0.681
28Q687,518,490,0.946,483,0.932
28Q690,374,259,0.693,231,0.618
28Q896,547,452,0.826,432,0.79
29Q015,332,103,0.31,77,0.232
29Q033,763,400,0.524,325,0.426
29Q034,464,139,0.3,99,0.213
29Q035,554,221,0.399,168,0.303
29Q036,278,79,0.284,61,0.219
29Q037,269,63,0.234,42,0.156
29Q038,255,71,0.278,54,0.212
29Q052,268,66,0.246,48,0.179
29Q059,440,233,0.53,194,0.441
29Q095,1196,639,0.534,510,0.426
29Q109,1006,685,0.681,626,0.622
29Q116,741,300,0.405,246,0.332
29Q118,333,110,0.33,86,0.258
29Q131,667,466,0.699,407,0.61
29Q132,293,81,0.276,61,0.208
29Q134,298,101,0.339,82,0.275
29Q135,688,318,0.462,255,0.371
29Q136,409,126,0.308,103,0.252
29Q138,559,187,0.335,143,0.256
29Q147,418,176,0.421,154,0.368
29Q156,147,39,0.265,26,0.177
29Q176,563,200,0.355,167,0.297
29Q181,266,75,0.282,48,0.18
29Q192,401,189,0.471,160,0.399
29Q195,307,77,0.251,59,0.192
29Q208,646,346,0.536,296,0.458
29Q238,1043,684,0.656,591,0.567
29Q243,462,327,0.708,287,0.621
29Q248,255,155,0.608,121,0.475
29Q251,239,66,0.276,48,0.201
29Q259,611,422,0.691,380,0.622
29Q265,381,220,0.577,188,0.493
29Q268,606,316,0.521,266,0.439
29Q270,646,276,0.427,240,0.372
29Q272,387,275,0.711,240,0.62
29Q283,542,310,0.572,262,0.483
29Q289,182,84,0.462,67,0.368
29Q295,509,236,0.464,196,0.385
29Q313,390,258,0.662,230,0.59
29Q326,345,255,0.739,233,0.675
29Q327,389,248,0.638,215,0.553
29Q355,373,173,0.464,149,0.399
29Q356,313,154,0.492,131,0.419
29Q360,284,95,0.335,83,0.292
29Q492,373,235,0.63,206,0.552
29Q498,458,320,0.699,281,0.614
30Q002,513,185,0.361,146,0.285
30Q010,747,514,0.688,464,0.621
30Q011,730,477,0.653,399,0.547
30Q017,507,248,0.489,210,0.414
30Q069,776,577,0.744,525,0.677
30Q070,698,300,0.43,232,0.332
30Q076,341,152,0.446,117,0.343
30Q078,681,543,0.797,505,0.742
30Q084,238,114,0.479,92,0.387
30Q085,552,283,0.513,241,0.437
30Q092,739,403,0.545,298,0.403
30Q111,282,102,0.362,64,0.227
30Q112,328,132,0.402,109,0.332
30Q122,1141,682,0.598,630,0.552
30Q126,466,329,0.706,296,0.635
30Q127,1028,582,0.566,467,0.454
30Q141,1099,689,0.627,620,0.564
30Q145,1554,1195,0.769,1079,0.694
30Q148,672,363,0.54,288,0.429
30Q149,796,453,0.569,357,0.448
30Q150,791,527,0.666,482,0.609
30Q151,247,93,0.377,64,0.259
30Q152,684,449,0.656,393,0.575
30Q166,748,493,0.659,434,0.58
30Q171,340,135,0.397,107,0.315
30Q204,381,263,0.69,231,0.606
30Q212,652,451,0.692,380,0.583
30Q222,193,118,0.611,106,0.549
30Q227,1492,1132,0.759,1066,0.714
30Q228,192,100,0.521,70,0.365
30Q230,1087,895,0.823,827,0.761
30Q234,366,178,0.486,152,0.415
30Q235,134,79,0.59,65,0.485
30Q258,524,449,0.857,419,0.8
30Q280,522,283,0.542,214,0.41
30Q286,573,483,0.843,455,0.794
30Q291,374,311,0.832,287,0.767
30Q300,478,412,0.862,395,0.826
30Q301,514,417,0.811,390,0.759
30Q329,437,212,0.485,169,0.387
30Q361,423,300,0.709,251,0.593
30Q384,225,187,0.831,170,0.756
30Q398,193,106,0.549,94,0.487
30Q445,2041,1614,0.791,1487,0.729
30Q450,2011,1596,0.794,1471,0.731
30Q501,857,771,0.9,741,0.865
30Q502,875,729,0.833,678,0.775
30Q555,920,646,0.702,520,0.565
30Q575,1193,987,0.827,950,0.796
30Q580,524,463,0.884,455,0.868
31R001,374,50,0.134,41,0.11
31R002,946,531,0.561,471,0.498
31R003,606,120,0.198,101,0.167
31R004,657,193,0.294,170,0.259
31R005,301,58,0.193,49,0.163
31R006,438,81,0.185,67,0.153
31R007,1163,435,0.374,391,0.336
31R008,524,173,0.33,150,0.286
31R009,255,90,0.353,76,0.298
31R010,172,31,0.18,22,0.128
31R011,270,72,0.267,53,0.196
31R013,770,295,0.383,242,0.314
31R016,380,128,0.337,86,0.226
31R018,359,110,0.306,79,0.22
31R019,408,146,0.358,110,0.27
31R020,378,109,0.288,73,0.193
31R021,332,89,0.268,61,0.184
31R022,753,226,0.3,172,0.228
31R023,550,163,0.296,131,0.238
31R024,1294,562,0.434,518,0.4
31R026,268,84,0.313,73,0.272
31R027,983,565,0.575,467,0.475
31R028,309,168,0.544,139,0.45
31R029,573,174,0.304,145,0.253
31R030,678,203,0.299,184,0.271
31R031,308,81,0.263,42,0.136
31R032,605,169,0.279,139,0.23
31R034,988,355,0.359,324,0.328
31R035,383,148,0.386,122,0.319
31R036,734,145,0.198,129,0.176
31R038,345,152,0.441,127,0.368
31R039,478,216,0.452,185,0.387
31R041,613,245,0.4,208,0.339
31R042,961,259,0.27,229,0.238
31R044,542,127,0.234,76,0.14
31R045,787,303,0.385,236,0.3
31R046,179,38,0.212,30,0.168
31R047,519,400,0.771,391,0.753
31R048,933,414,0.444,378,0.405
31R049,573,273,0.476,210,0.366
31R050,665,229,0.344,196,0.295
31R051,1333,657,0.493,557,0.418
31R052,547,210,0.384,168,0.307
31R053,737,261,0.354,221,0.3
31R054,722,301,0.417,249,0.345
31R055,498,94,0.189,71,0.143
31R056,572,100,0.175,89,0.156
31R057,466,150,0.322,86,0.185
31R058,642,247,0.385,209,0.326
31R059,235,99,0.421,83,0.353
31R060,679,192,0.283,166,0.244
31R061,995,523,0.526,436,0.438
31R062,443,101,0.228,86,0.194
31R063,447,273,0.611,250,0.559
31R064,427,321,0.752,295,0.691
31R065,350,138,0.394,115,0.329
31R068,374,116,0.31,89,0.238
31R069,826,340,0.412,279,0.338
31R072,1498,866,0.578,802,0.535
31R074,258,85,0.329,59,0.229
31R075,1358,584,0.43,542,0.399
31R078,568,171,0.301,111,0.195
31R080,1368,733,0.536,646,0.472
31R440,3138,2102,0.67,1921,0.612
31R445,1651,1135,0.687,995,0.603
31R450,2178,1626,0.747,1463,0.672
31R455,3725,2248,0.603,2087,0.56
31R460,3160,2322,0.735,2157,0.683
31R470,173,84,0.486,53,0.306
31R600,731,484,0.662,434,0.594
31R605,1351,1223,0.905,1191,0.882
31R861,849,307,0.362,241,0.284
32K045,503,187,0.372,134,0.266
32K075,230,79,0.343,56,0.243
32K086,372,143,0.384,107,0.288
32K106,314,132,0.42,100,0.318
32K116,336,132,0.393,83,0.247
32K123,492,215,0.437,166,0.337
32K145,422,165,0.391,132,0.313
32K151,275,99,0.36,70,0.255
32K162,302,198,0.656,166,0.55
32K168,359,261,0.727,229,0.638
32K274,338,124,0.367,96,0.284
32K291,297,171,0.576,134,0.451
32K299,176,58,0.33,33,0.188
32K347,292,162,0.555,132,0.452
32K349,251,143,0.57,125,0.498
